"observed_year","id_cells","onset","offset","duration","base_date","onset_date","offset_date","onset_doy","offset_doy"
2018,3502,93.9838647718973,139.691785702081,45.7079209301837,2018-01-01,2018-04-04,2018-05-20,94,140
2018,3504,36.62684332014,142.523277053506,105.896433733366,2018-01-01,2018-02-06,2018-05-23,37,143
2018,3512,85.0289751917944,135.409116439476,50.380141247682,2018-01-01,2018-03-27,2018-05-16,86,136
2016,3513,47.8748448845522,125.939401961995,78.0645570774432,2016-01-01,2016-02-17,2016-05-05,48,126
2018,3513,89.7639532641183,135.514641029059,45.7506877649409,2018-01-01,2018-03-31,2018-05-16,90,136
2016,3524,55.8068849750623,140.489574126435,84.6826891513725,2016-01-01,2016-02-25,2016-05-20,56,141
2017,3524,71.3786866295712,148.252041272132,76.8733546425611,2017-01-01,2017-03-13,2017-05-29,72,149
2018,3524,77.4172972580039,149.111783647669,71.6944863896653,2018-01-01,2018-03-19,2018-05-30,78,150
2017,3525,68.3066777545108,141.045402676092,72.7387249215808,2017-01-01,2017-03-10,2017-05-22,69,142
2018,3525,76.8517576598134,141.894424590278,65.0426669304643,2018-01-01,2018-03-18,2018-05-22,77,142
2018,3604,103.548012263911,139.826420519209,36.2784082552973,2018-01-01,2018-04-14,2018-05-20,104,140
2018,3618,84.8707103041614,140.25002920723,55.3793189030688,2018-01-01,2018-03-26,2018-05-21,85,141
2017,3693,70.7193417982996,136.347532583165,65.6281907848654,2017-01-01,2017-03-12,2017-05-17,71,137
2018,3886,103.993962428854,139.667239852436,35.6732774235817,2018-01-01,2018-04-14,2018-05-20,104,140
2018,3887,91.0906798129814,143.8821903146,52.7915105016186,2018-01-01,2018-04-02,2018-05-24,92,144
2017,4145,84.4622123580634,139.066658855282,54.6044464972185,2017-01-01,2017-03-26,2017-05-20,85,140
