rowname,onset,year,id_cells,offset,duration
2018.13485,85.82659984,2018,13485,135.1203924,49.29379252
2019.13485,79.80550055,2019,13485,124.2672688,44.46176825
2019.13625,66.81005106,2019,13625,142.2072879,75.39723686
2017.13626,52.66098289,2017,13626,150.3633585,97.7023756
2018.13626,75.8338287,2018,13626,148.4009798,72.56715108
2019.13626,81.753502,2019,13626,133.067872,51.31437003
2017.13627,79.16229178,2017,13627,135.1587442,55.99645238
2018.13627,94.17876163,2018,13627,143.6410902,49.46232855
2019.13627,83.91971838,2019,13627,146.435593,62.51587465
2019.13629,81.72816883,2019,13629,148.4881881,66.76001923
2019.13645,87.24136087,2019,13645,133.303868,46.06250715
2017.13647,67.89589005,2017,13647,128.7486916,60.85280155
2018.13647,80.0067815,2018,13647,149.1612342,69.15445271
2019.13647,80.8453115,2019,13647,141.365986,60.52067447
2018.13648,93.55293033,2018,13648,137.0416526,43.48872229
2019.13648,87.06070688,2019,13648,124.5329851,37.47227821
2019.1367,75.63725628,2019,13670,133.0323417,57.39508546
2017.13671,70.50082591,2017,13671,140.0228855,69.52205963
2018.13671,71.90541415,2018,13671,145.0679694,73.16255524
2019.13671,64.74103092,2019,13671,149.6805656,84.93953463
2017.13812,66.38757266,2017,13812,141.2021598,74.81458711
2018.13812,90.02040459,2018,13812,136.8811608,46.86075619
2019.13812,82.4217598,2019,13812,147.1198239,64.69806414
2019.13816,99.28991709,2019,13816,130.6713478,31.38143071
2018.13831,90.08612871,2018,13831,135.9862598,45.90013106
2019.13831,79.17162211,2019,13831,142.213599,63.04197685
2019.13832,68.36935647,2019,13832,137.7862927,69.41693627
2019.13833,83.27388962,2019,13833,129.3855124,46.11162273
2017.13856,63.90594722,2017,13856,145.6959405,81.7899933
2018.13856,76.12715595,2018,13856,145.8023696,69.67521369
2019.13856,73.91397718,2019,13856,131.2106065,57.29662933
2017.13857,65.90057333,2017,13857,137.3154868,71.41491351
2018.13996,89.87151188,2018,13996,140.8611118,50.9895999
2019.13996,73.88620293,2019,13996,144.578214,70.69201109
2018.13997,111.0407917,2018,13997,141.1733157,30.13252402
2018.14018,97.41383771,2018,14018,135.4704721,38.0566344
2017.14041,77.72524879,2017,14041,149.7772902,72.0520414
2018.14041,79.92098962,2018,14041,153.6966701,73.77568049
2019.14041,78.05664744,2019,14041,144.5125189,66.45587146
2018.14042,76.79725552,2018,14042,143.2800768,66.48282127
2019.14042,88.59211594,2019,14042,123.8501902,35.25807431
2018.14199,103.8993452,2018,14199,139.9097715,36.01042634
2019.14199,95.68388465,2019,14199,141.4551689,45.77128428
2019.14227,69.83521248,2019,14227,143.6589175,73.823705
2018.14228,102.4195962,2018,14228,126.2345583,23.8149621
2019.14228,76.23918572,2019,14228,140.8261649,64.58697914
2019.1438,84.38158915,2019,14380,142.4987227,58.11713353
2018.14413,93.87338291,2018,14413,133.82472,39.95133711
2019.14413,77.21235573,2019,14413,141.198092,63.98573623
2017.14562,69.84941879,2017,14562,136.0305654,66.1811466
2019.14562,83.68027619,2019,14562,144.9928174,61.31254122
2019.155,101.6507493,2019,15500,148.5502111,46.89946182
2019.15501,98.75109767,2019,15501,138.9708355,40.21973778
2018.15502,88.51514222,2018,15502,144.6705599,56.15541768
2019.15687,92.34369671,2019,15687,152.5582179,60.21452123
2017.16385,86.60351865,2017,16385,134.1732742,47.56975551
