rowname,onset,year,id_cells,offset,duration
2019.1441,23.42404158,2019,1441,107.895343,84.47130144
2019.1455,52.79145504,2019,1455,96.48831345,43.69685841
2019.1626,37.48226687,2019,1626,116.5061734,79.02390649
2019.1914,47.83932612,2019,1914,108.4279845,60.58865841
2019.1998,74.07626867,2019,1998,105.2712106,31.19494193
2019.2006,59.01427879,2019,2006,119.7334804,60.71920161
2019.2018,48.59886184,2019,2018,103.6705092,55.07164732
2019.2092,38.36310868,2019,2092,134.1239584,95.76084972
2019.2113,32.2331839,2019,2113,124.1391411,91.90595724
2019.219,56.75077819,2019,2190,119.4540329,62.70325472
2017.2296,59.82573652,2017,2296,115.9991521,56.17341559
2018.2296,31.268201,2018,2296,122.6000575,91.33185651
2019.2296,44.07351005,2019,2296,111.7358651,67.66235505
2019.2298,40.27234493,2019,2298,117.513774,77.24142902
2019.2304,47.60754951,2019,2304,130.0146064,82.40705687
2017.2403,33.08419658,2017,2403,125.4650722,92.38087562
2018.2403,40.25086291,2018,2403,137.0467183,96.79585542
2019.2403,31.66262758,2019,2403,134.1536491,102.4910215
2019.2463,38.78398699,2019,2463,164.3129197,125.5289327
2019.2478,47.48482844,2019,2478,140.7811587,93.29633028
2019.2483,47.52233489,2019,2483,119.3439807,71.82164584
2019.2495,49.40686363,2019,2495,106.2727719,56.86590824
2018.2496,44.33783041,2018,2496,140.1423225,95.80449207
2019.2496,38.36253834,2019,2496,134.9745712,96.61203286
2019.257,53.84898254,2019,2570,120.8469223,66.99793978
2018.2571,48.85646212,2018,2571,133.1640331,84.30757096
2019.2571,59.45369587,2019,2571,112.0260327,52.57233684
2019.2661,73.89005756,2019,2661,124.0831253,50.1930677
2019.2672,43.82507606,2019,2672,132.6510075,88.8259314
2019.2751,69.26235919,2019,2751,130.3632965,61.10093728
2018.2754,85.20759531,2018,2754,131.6329822,46.42538689
2019.2754,59.9683051,2019,2754,140.0652036,80.09689845
2018.2755,97.33992923,2018,2755,124.8749348,27.53500558
2019.2755,64.31692108,2019,2755,128.665311,64.34838996
2017.2777,24.94257915,2017,2777,135.2548687,110.3122896
2018.2777,44.34686691,2018,2777,125.6678001,81.3209332
2019.2777,43.67959848,2019,2777,128.1951345,84.515536
2019.2868,55.95391916,2019,2868,125.898331,69.94441185
2019.2945,75.09481272,2019,2945,113.3256312,38.23081852
2018.2947,88.67526372,2018,2947,131.2695694,42.59430572
2019.2947,65.41966234,2019,2947,112.9409385,47.52127615
2018.295,38.71917661,2018,2950,137.3746892,98.65551255
2019.295,55.18522073,2019,2950,133.174586,77.98936524
2019.2951,62.811851,2019,2951,122.6204674,59.80861636
2018.304,76.62094525,2018,3040,131.16421,54.54326474
2019.304,74.20466856,2019,3040,138.9686628,64.76399426
2018.3044,67.25065047,2018,3044,137.2617014,70.0110509
2019.3044,49.9400754,2019,3044,143.028165,93.0880896
2017.3047,42.73337528,2017,3047,133.675564,90.94218877
2018.3047,62.22730981,2018,3047,133.5871789,71.35986907
2019.3047,47.85640467,2019,3047,161.4860505,113.6296458
2018.3055,67.07778746,2018,3055,135.8868856,68.80909814
2019.3055,58.3857565,2019,3055,143.6621204,85.27636387
2017.3056,40.60815209,2017,3056,130.4413235,89.83317136
2018.3056,66.50860714,2018,3056,132.2714874,65.76288026
2019.3056,56.30167067,2019,3056,130.2412237,73.93955308
2018.3057,83.40865589,2018,3057,126.1575619,42.74890604
2019.3057,50.01513131,2019,3057,127.5344687,77.51933739
2019.3132,64.63139426,2019,3132,139.4748848,74.84349056
2019.3138,69.37929217,2019,3138,133.155452,63.77615986
2018.3139,77.13479816,2018,3139,118.6162897,41.48149159
2019.3139,73.46380578,2019,3139,131.3582364,57.89443064
2017.3148,63.16893683,2017,3148,116.1128014,52.94386455
2018.3148,73.85222296,2018,3148,133.8468588,59.99463588
2019.3148,58.3154975,2019,3148,130.5279449,72.21244742
2017.3149,21.79478109,2017,3149,282.1190543,260.3242733
2018.3149,59.88091448,2018,3149,137.330825,77.44991049
2019.3149,54.92344927,2019,3149,127.8464707,72.92302139
2018.315,103.2515567,2018,3150,137.3747619,34.12320515
2018.3231,79.09398262,2018,3231,118.4864529,39.39247032
2019.3231,86.98893296,2019,3231,120.2941488,33.30521588
2018.3232,78.71286326,2018,3232,124.6355209,45.92265763
2019.3236,69.28808457,2019,3236,130.4240478,61.13596323
2018.3242,92.21956529,2018,3242,129.6905306,37.4709653
2019.3242,87.48709512,2019,3242,123.2411941,35.75409894
2018.3243,88.00772737,2018,3243,129.3027613,41.2950339
2019.3243,73.12874839,2019,3243,131.1181935,57.9894451
2019.3306,79.99568107,2019,3306,130.6770623,50.68138125
2018.3314,103.6695634,2018,3314,138.460578,34.79101455
2019.3314,87.11689227,2019,3314,130.7336272,43.61673495
2019.3315,101.0112374,2019,3315,120.7845599,19.77332254
2019.3316,79.42497505,2019,3316,133.7388293,54.31385422
2018.3327,78.58281976,2018,3327,147.4900357,68.90721596
2019.3327,83.27481329,2019,3327,128.0246705,44.74985716
2018.3329,78.81848684,2018,3329,134.8903063,56.07181944
2019.3329,75.17007812,2019,3329,127.6256274,52.45554929
2018.333,67.66088738,2018,3330,127.2722093,59.61132195
2019.333,76.42626187,2019,3330,126.5045978,50.07833592
2017.3337,70.7404554,2017,3337,113.9097709,43.16931549
2018.3337,78.34710358,2018,3337,132.7958693,54.44876574
2019.3337,68.86595492,2019,3337,140.749507,71.88355206
2019.3338,86.41381891,2019,3338,125.6051843,39.19136543
2018.3407,96.20312786,2018,3407,133.8261181,37.62299024
2019.3408,68.9269281,2019,3408,140.8931798,71.96625167
2017.3409,50.89495125,2017,3409,152.4108091,101.5158579
2018.3409,82.29656895,2018,3409,147.1241977,64.82762878
2019.3409,69.06446642,2019,3409,163.2844307,94.2199643
2018.341,100.2156681,2018,3410,149.9333738,49.71770569
2019.341,77.02248191,2019,3410,152.4537599,75.43127798
2019.3416,71.87929813,2019,3416,153.5340443,81.65474615
2018.3418,77.74558546,2018,3418,140.5982156,62.85263013
2019.3418,80.20815035,2019,3418,131.8370084,51.62885809
2017.3419,71.08254535,2017,3419,126.4500636,55.36751825
2018.3419,72.19753446,2018,3419,147.5610973,75.36356282
2019.3419,78.37652636,2019,3419,140.4450506,62.06852426
2017.342,58.89104558,2017,3420,146.5440784,87.65303279
2018.342,93.23043988,2018,3420,137.0467679,43.81632803
2019.342,82.74352365,2019,3420,123.5813002,40.83777651
2019.3421,69.24447645,2019,3421,144.8978252,75.65334872
2019.3422,80.71448156,2019,3422,127.7764693,47.0619877
2019.3423,78.87535542,2019,3423,126.1447441,47.2693887
2018.343,86.80549994,2018,3430,140.0305786,53.2250787
2019.343,71.02833752,2019,3430,130.9668866,59.93854908
2017.3431,70.18800489,2017,3431,139.5188431,69.33083823
2018.3431,74.91244015,2018,3431,142.7630512,67.85061104
2019.3431,67.69429437,2019,3431,142.4112284,74.71693406
2019.3501,86.10013072,2019,3501,131.2111536,45.11102289
2017.3502,69.62902471,2017,3502,142.0966732,72.46764851
2018.3502,93.71458766,2018,3502,139.6229494,45.90836174
2019.3502,79.74462066,2019,3502,147.6671606,67.92253992
2018.3504,35.81885798,2018,3504,141.6617514,105.8428935
2019.3504,99.53169503,2019,3504,129.8558878,30.32419277
2018.3512,84.70140035,2018,3512,135.3713516,50.66995129
2019.3512,74.71555571,2019,3512,140.2309838,65.51542805
2018.3513,89.61458401,2018,3513,135.2591373,45.64455328
2019.3513,83.7115162,2019,3513,129.729762,46.01824578
